conflict_id,conflict_name,url,n_belligerents,n_entities,place,date,date_start,date_end,status,casualties,casualties_num,casualties_sum,strength,strength_num,strength_sum,commander,result
22738,Operation Enduring Freedom,https://en.wikipedia.org/wiki/Operation_Enduring_Freedom,2,64,"Afghanistan, Philippines, Somalia, Georgia country; Georgia, Kyrgyzstan, Sahara",7 October 2001 - 28 December 2014 ,2001-10-07,2014-12-28,"Operation ended; Conflict ongoing  War in Afghanistan (2001–present); Taliban regime deposed, but their insurgency still fights NATO and Afghan government forces  Death of Osama bin Laden  OEF-A concluded, succeeded by Operation Freedom's Sentinel","{0: ' 45,000+ killed 2,438 killed(2,414 in Afghanistan, 17 in the Philippines, 5 in Niger, 2 in Somalia) 456 killed 158 killed 89 killed  57 killed 53 killed 43 killed 41 killed 40 killed 34 killed 32 killedOthers 200+ killed', 1: ' In Afghanistan: * 72,000+ killed  In the Philippines: * 328+300 killed (2002–2007)  15 killed (February 2012)   In Somalia: * \'260 to 365 killed""The Bureau of Investigative Journalism"" , Somalia Datasheet. Retrieved 4 February 2016.Cooper, Helene. """"US Strikes Kill 150 Shabab fighters in Somalia, officials say"". Washington Post. 7 March 2016. ""American warplanes on Saturday struck a training camp in Somalia belonging to the Islamist militant group the Shabab, the Pentagon said, killing about 150 fighters who United States officials said were preparing an attack against American troops and their regional allies in East Africa."" '}","{0: [45000.0, 2438.0, 2414.0, 17.0, 5.0, 2.0, 456.0, 158.0, 89.0, 57.0, 53.0, 43.0, 41.0, 40.0, 34.0, 32.0, 200.0], 1: [72000.0, 328.0, 300.0, 2002.0, 2007.0, 15.0, 2012.0, 260.0, 365.0, 4.0, 2016.0, 150.0, 7.0, 2016.0, 150.0]}","{0: 51079.0, 1: 83632.0}","{0: '', 1: ''}",{},{},"{0: ['John Abizaid', 'Barack Obama', 'Tommy Franks', 'United States', 'George W Bush', 'William J. Fallon', 'Graham Stirrup', 'Martin Dempsey', 'MRAF', 'David Petraeus', 'United Kingdom'], 1: ['Khadaffy Janjalani', 'Ayman al-Zawahiri', 'Riduan Isamuddin', 'Mohammed Omar', 'Osama bin Laden', 'Afghanistan']}",
43063,Operation Anaconda,https://en.wikipedia.org/wiki/Operation_Anaconda,2,16,"Shahi Kot Valley, Paktia Province, Islamic State of Afghanista","March 1-18, 2002",2022-03-01,2021-04-07,,"{0: '7 Afghan fighters killed  8 (7 in the Battle of Takur Ghar)Neville, Leigh,  Special Forces in the War on Terror (General Military), Osprey Publishing, 2015  , p.66-6782 wounded', 1: '500+ killed United States claimed: 800 killedNeville, Leigh,  Special Forces in the War on Terror (General Military), Osprey Publishing, 2015  , p.67', 2: ''}","{0: [7.0, 8.0, 7.0, 2015.0, 66.0], 1: [500.0, 800.0, 2015.0, 67.0]}","{0: 2103.0, 1: 3382.0}","{0: '30,000', 1: '1,000'}","{0: [30000.0], 1: [1000.0]}","{0: 30000.0, 1: 1000.0}","{0: ['Franklin L. Hagenbeck', 'Australia', 'Rowan Tink', 'United States'], 1: [""Tohir Yo'ldosh"", 'Afghanistan', 'Saifur Rehman Mansoor']}","Coalition victory, Taliban evacuates but suffers heavy casualties"
46216,Israeli–Palestinian conflict,https://en.wikipedia.org/wiki/Israeli–Palestinian_conflict,2,7,"Middle EastPrimarily in Israel, West Bank, Gaza Strip and Lebanon",Mid-20th century - presentMain phase: 1964-1993,2021-04-07,2021-04-07,"Israeli–Palestinian peace proceslow-level fighting, mainly Israel–Gaza conflict; between Israel and Gaza","{0: '', 1: '', 2: '21,500 casualties (1965–2013)Monty G. Marshall. Major Episodes of Political Violence 1946–2012. SystemicPeace.org. ""Ethnic War with Arab Palestinians / PLO 1965–2013"". Updated 12 June 2013  }}'}","{2: [21500.0, 1965.0, 2013.0, 1946.0, 2012.0, 1965.0, 2013.0, 12.0, 2013.0]}",{2: 35439.0},"{0: '', 1: ''}",{},{},"{0: [], 1: []}",
106346,Battle of Mogadishu (1993),https://en.wikipedia.org/wiki/Battle_of_Mogadishu_(1993),2,6,"Mogadishu, Somalia",,2021-04-07,,,"{0: ' 19 kille73 wounde1 captured (later released2 helicopters destroyed3 helicopters damage 1 kille7 wounde  1 kille2 wounded', 1: ''}","{0: [19.0, 73.0, 1.0, 2.0, 3.0, 1.0, 7.0, 1.0, 2.0]}",{0: 109.0},"{0: '', 1: '2,000–4,000'}","{1: [2000.0, 4000.0]}",{1: 6000.0},"{0: ['Danny R. McKnight', 'United States', 'Gary L. Harrell', 'William Boykin', 'Malaysia', 'William F. Garrison'], 1: ['Mohamed Farrah Aidid']}",Pyrrhic tactical USUN victory Strategic Somali National Alliance victory
171392,Second Chechen War,https://en.wikipedia.org/wiki/Second_Chechen_War,2,5,,,,,,,,,,,,,
201936,2003 invasion of Iraq,https://en.wikipedia.org/wiki/2003_invasion_of_Iraq,2,17,Iraq,20 March - 1 May 2003 ,2022-03-20,2003-05-01,,"{0: 'Coalition: 214 killed606 wounded (U.S.)Peshmerga:24+ killed Total:238+ dead, 1,000+ wounded', 1: 'Estimated Casualties of the Iraq War#Iraqi invasion casualties|Iraqi combatant fatalities: 30,000 (figure attributed to General Tommy Franks) ---- 7,600–11,000 (4,895–6,370 observed and reported) (Project on Defense Alternatives study) ---- 13,500–45,000 (extrapolated from fatality rates in units serving around Baghdad)""Body counts"". By Jonathan Steele. The Guardian. 28 May 2003. ---- Total: 7,600–45,000 killed', 2: 'Estimated Casualties of the Iraq War#Iraqi invasion casualties|Iraqi civilian fatalities: 7,269 (Iraq Body Count) 3,200–4,300 (Project on Defense Alternatives study)'}","{0: [214.0, 606.0, 24.0, 238.0, 1000.0], 1: [30000.0, 7600.0, 11000.0, 4895.0, 6370.0, 13500.0, 45000.0, 28.0, 2003.0, 7600.0, 45000.0], 2: [7269.0, 3200.0, 4300.0]}","{0: 2082.0, 1: 172996.0, 2: 14769.0}","{0: ': 192,000 personnel: 45,000 troops : 2,000 troops : 194 Special Forces  Peshmerga: 70,000Iraqi National Congress: 620 ---- Total:309,814', 1: 'File:Coat of arms (emblem) of Iraq 1991-2004.svg|20px Iraqi Armed Forces: 538,000 active 650,000 reserves2,000 tanks3,700 APCs and IFVs2,300 artillery pieces300 combat aircraftFile:Iraqi Republican Guard Symbol.svg|15px\xa0Special Republican Guard (Iraq)|Special Iraqi Republican Guard: 12,000File:Iraqi Republican Guard Symbol.svg|15px\xa0Republican Guard (Iraq)|Iraqi Republican Guard: 70,000–75,000File:Fedayeen Saddam SSI.svg|20px\xa0Fedayeen Saddam: 30,000Arab volunteers: 6,000 ---- Mehdi Army: 1600–2800 ---- Total:1,307,000–1,313,000'}","{0: [192000.0, 45000.0, 2000.0, 194.0, 70000.0, 620.0, 309814.0], 1: [1991.0, 20.0, 538000.0, 650000.0, 2000.0, 3700.0, 2300.0, 300.0, 15.0, 12000.0, 15.0, 70000.0, 75000.0, 20.0, 30000.0, 6000.0, 1600.0, 2800.0, 1307000.0, 1313000.0]}","{0: 619628.0, 1: 4015761.0}","{0: ['Kosrat Rasul Ali', 'Dick Cheney', 'United States', 'Jalal Talabani', 'Babaker Shawkat B. Zebari', 'Iraqi Kurdistan', 'Donald Rumsfeld', 'Masoud Barzani', 'Tommy Franks', 'Poland', 'Iraq', 'John Howard', 'United Kingdom', 'Australia', 'Aleksander Kwa', 'Brian Burridge', 'Ahmed Chalabi', 'Peter Cosgrove', 'George W. Bush', 'Tony Blair'], 1: ['Abid Hamid Mahmud', 'Barzan Ibrahim al-Tikriti', ""Ra'ad al-Hamdani"", 'Izzat Ibrahim al-Douri', 'Taha Yassin Ramadan', 'Tariq Aziz', 'Saddam Hussein', 'Ali Hassan al-Majid', 'Qusay Hussein', 'Uday Hussein', 'Iraq']}",Coalition operational success  Ba'athist Iraq government deposed  Occupation of Iraq History of Iraq (2003–2011); until 2011  Al Maliki I Government established  Beginning of the Iraq War
203230,Iraqi no-fly zones conflict,https://en.wikipedia.org/wiki/Iraqi_no-fly_zones_conflict,2,10,Ba'athist Iraq,1 March 199120 March 2003 ,2003-03-01,,,"{0: '2 UH-60 Blackhawk helicopters shot down (friendly fire, 26 killed)  19 United States Air Force personnel deployed as part of the operation killed in the Khobar Towers Bombing  5 RQ-1 Predator unmanned aircraft shot down', 1: 'Unknown number of soldiers killed  Unknown number of air defense systems destroyed  1 MiG-25 Foxbat shot down  1 MiG-23 Flogger shot down  2 Su-22 Fitters shot down', 2: '1,400 Iraqi civilians killed (Iraqi government claim)Carrington, Anca. ""Iraq: Issues, Historical Background, Bibliography."" Page 18.'}","{0: [2.0, 26.0, 19.0, 5.0], 1: [1.0, 1.0, 2.0], 2: [1400.0, 18.0]}","{0: 52.0, 1: 4.0, 2: 1418.0}","{0: '6,000 infantrymen  50 aircraft and 1,400 personnel at any one time', 1: 'Unknown number of Iraqi Air Force personnel and Iraqi Police Force'}","{0: [6000.0, 50.0, 1400.0]}",{0: 7450.0},"{0: ['Bill Clinton', 'Jacques Chirac', 'Saudi Arabia', 'Fahd of Saudi Arabia', 'Abdullah of Saudi Arabia', 'Fran', 'John Shalikashvili', 'United States', 'Hugh Shelton', 'John Major', 'George W. Bush', 'Tony Blair', 'T. Michael Moseley', 'USA', 'France', 'George H. W. Bush', 'United Kingdom'], 1: ['Saddam Hussein']}",Inconclusive Ended with the beginning of the Iraq War
207031,Battle of Baghdad (2003),https://en.wikipedia.org/wiki/Battle_of_Baghdad_(2003),2,3,"Baghdad, Ba'athist Iraq",3-12 April 2003 ,2021-04-07,2003-04-12,,"{0: '1,700–2,120 killed (independent estimate)2,320 killed (U.S. military estimate)Iraqi Death Toll, Health Perils Assessed by Medical Group ', 1: '34 killed1 A-10 Thunderbolt II shot down2 Abrams tanks destroyed17 vehicles destroyed', 2: ''}","{0: [1700.0, 2120.0, 2320.0], 1: [34.0, 1.0, 2.0, 17.0]}","{0: 6140.0, 1: 54.0}","{0: '45,000', 1: '30,000'}","{0: [45000.0], 1: [30000.0]}","{0: 45000.0, 1: 30000.0}","{0: [""Ra'ad al-Hamdani"", 'Saddam Hussein', 'Qusay Hussein', 'Sayf al-Din al-Rawi', 'Iraq'], 1: ['Richard F. Natonski', 'United Kingdom', 'Tommy Franks', 'United States', 'Brian Burridge', 'George W. Bush', 'Tony Blair', 'David Petraeus']}",Decisive Coalition victory  Fall of Ba'ath Party (Iraqi-dominated faction); Ba'ath Party rule  Saddam Hussein deposed
225283,Sri Lankan Civil War,https://en.wikipedia.org/wiki/Sri_Lankan_Civil_War,2,3,Sri Lanka,23 July 1983 - 18 May 2009 ,1983-07-23,2009-05-18,,"{0: ' 28,708 killed 40,107 wounded(Indian Peace Keeping Force)', 1: '27,000+ killed11,644 captured', 2: '80,000-100,000 killed overall (estimate) 800,000 displaced at peak in 2001'}","{0: [28708.0, 40107.0], 1: [27000.0, 11644.0], 2: [80000.0, 800000.0, 2001.0]}","{0: 68815.0, 1: 38644.0, 2: 882001.0}","{0: ' Sri Lanka Armed Forces:95,000 (2001)118,000 (2002)158,000 (2003)151,000 (2004)111,000 (2005)150,900 (2006)210,000 (2008)100,000 (peak)', 1: ' Liberation Tigers of Tamil Eelam(excluding Divisions of the Liberation Tigers of Tamil Eelam#Auxiliary forces|Auxiliary forces):6,000 (2001)7,000 (2003)18,000 (2004)11,000 (2005)8,000 (2006)7,000 (2007)(including Auxiliary forces):25,000 (2006)30,000 (2008)'}","{0: [95000.0, 2001.0, 118000.0, 2002.0, 158000.0, 2003.0, 151000.0, 2004.0, 111000.0, 2005.0, 150900.0, 2006.0, 210000.0, 2008.0, 100000.0], 1: [6000.0, 2001.0, 7000.0, 2003.0, 18000.0, 2004.0, 11000.0, 2005.0, 8000.0, 2006.0, 7000.0, 2007.0, 25000.0, 2006.0, 30000.0, 2008.0]}","{0: 1107929.0, 1: 128040.0}","{0: ['Admiral of the fleet', 'Denzil Kobbekaduwa', 'India', 'D. B. Wijetunga', 'Chandrika Kumaratunga', 'Assassination', 'Marshal of the air force', 'Mohan Jayamaha', 'Rear admiral', 'Major-general', 'Vijaya Wimalaratne', 'Lieutenant-general', 'Wasantha Karannagoda', 'R. Venkataraman', 'Sri Lanka', 'Rajiv Gandhi', 'Ranasinghe Premadasa', 'Field marshal', 'V. P. Singh', 'Mahinda Rajapaksa', 'H. R. Amaraweera', 'J. R. Jayawardene', 'Sarath Fonseka', 'Roshan Goonetileke'], 1: ['Kumaran Pathmanathan', 'Soosai', 'Mahattaya', 'V. Prabhakaran', 'Pottu Amman', 'Balraj', 'Shankar', 'Karuna Amman']}",Sri Lankan Government victor Liberation Tigers of Tamil Eelam militarily defeated Sri Lankan government reestablishes control over entire island Territorial integrity of Sri Lanka preserved
314792,Operation Defensive Shield,https://en.wikipedia.org/wiki/Operation_Defensive_Shield,2,9,West Bank,29 March-10 May 2002,2022-03-29,2002-05-10,,"{0: '{{unbulleted list 30 killed', 1: '497 killed (according to UN)1,447 wounded7,000 detained'}","{0: [30.0], 1: [497.0, 1447.0, 7000.0]}","{0: 30.0, 1: 8944.0}","{0: '20,000', 1: '10,000'}","{0: [20000.0], 1: [10000.0]}","{0: 20000.0, 1: 10000.0}","{0: ['Shaul Mofaz'], 1: ['Mahmoud Tawalbe', 'Yasser Arafat']}",
