entity_id,entity_name,url,num_conflicts,iso,language,ideology,religion
27019,South Korea,https://en.wikipedia.org/wiki/South_Korea,6,KR,"['Korean language', 'Korean Sign Language', 'Pyojun-eo', 'Korean', 'South Korean standard language', 'Official script', 'Hangul', 'Korean']",[],"['Irreligion', 'No religion']"
1737554,Transit Center at Manas,https://en.wikipedia.org/wiki/Transit_Center_at_Manas,1,[],[],[],[]
17207794,Djibouti,https://en.wikipedia.org/wiki/Djibouti,3,DJ,"['Arabic language', 'French', 'Arabic', 'French language', 'National languages', 'Somali', 'Afar language', 'Afar', 'Somali language']",[],['Islam']
4913064,New Zealand,https://en.wikipedia.org/wiki/New_Zealand,6,NZ,"['New Zealand English', 'English']",[],"['Irreligion', 'No religion', 'Other', 'Christianity', 'Hinduism', 'Religion in New Zealand', 'Buddhism', 'Islam']"
23235,Pakistan,https://en.wikipedia.org/wiki/Pakistan,29,PK,"['Urdu', 'English language', 'English', 'Shina language', 'Kashmiri language', 'Shina', 'Saraiki', 'Saraiki language', 'Kashmiri', 'Domaaki language', 'Dameli language', 'Hindko', 'Balti', 'Memoni', 'Yidgha', 'Kalasha-mun', 'Wakhi language', 'Gawar-Bati', 'Kalasha', 'Brahui', 'Hindko language', 'Pahari-Pothwari', 'Brahui language', 'Khowar', 'Khowar language', 'Memoni language', 'Kohistani language', 'Balti language', 'Gawar-Bati language', 'Burushaski', 'Kohistani', 'Kutchi', 'Wakhi', 'Yidgha language', 'Dameli', 'Domaaki', 'Kutchi language']",[],"['State religion', 'Islam', 'Islam in Pakistan']"
31816,Uganda,https://en.wikipedia.org/wiki/Uganda,7,UG,"['Swahili language', 'Swahili', 'English', 'English language']",[],['Christianity']
194200,International Security Assistance Force,https://en.wikipedia.org/wiki/International_Security_Assistance_Force,11,[],[],[],[]
14533,India,https://en.wikipedia.org/wiki/India,21,IN,"['Devanagari', 'States and union territories of India', 'Hindi', 'Indian English', 'Part XVII of the Constitution of India', 'States and union territories', 'official language', 'English', 'Standard Hindi', 'List of languages by number of native speakers in India', '447 languages']",[],"['Hinduism', 'Hinduism in India']"
2288455,Northern Alliance,https://en.wikipedia.org/wiki/Northern_Alliance,13,[],[],[],[]
198149,Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan,3,TM,"['Turkmen language', 'Turkmen', 'Russian language', 'Russian', 'Ukrainian', 'Kurmanji', 'Balochi language', 'Eastern Armenian language', 'Persian language', 'Azerbaijani', 'Uzbek', 'Ukrainian language', 'Azerbaijani language', 'Persian', 'Uzbek language', 'Eastern Armenian', 'Baluji', 'Kazakh language', 'Kazakh']",[],"['Islam in Turkmenistan', 'Muslims']"
12108,Greece,https://en.wikipedia.org/wiki/Greece,4,EU,"['Greek', 'Greek language']",[],"['Irreligion', 'Islam in Greece', 'Church of Greece', 'List of Christian denominations', 'Christian', 'Christianity', 'Religion in Greece', 'Greek Orthodoxy', 'religion', 'Islam', 'No religion']"
5058739,Sweden,https://en.wikipedia.org/wiki/Sweden,3,SE,"['Swedish', 'Swedish language', 'Yiddish', 'Sami', 'Romani language', 'Yiddish language', 'Romani', 'Finnish', 'Meänkieli', 'Finnish language', 'Sami languages']",[],"['Protestantism', 'Nergelius', 'Religion in Sweden', 'List of Christian denominations', 'Protestant Christian', 'Nergelius', 'Christian', 'Church of Sweden', 'Other', 'Irreligion in Sweden', 'Christianity', 'Islam', 'Islam in Sweden', 'No religion']"
27358,Somalia,https://en.wikipedia.org/wiki/Somalia,26,SO,"['Somali', 'Arabic', 'Somali language', 'Italian', 'Italian language', 'English', 'English language']",[],['Islam']
31853,Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan,4,UZ,"['Uzbek language', 'Uzbek', 'Russian language', 'Russian', 'Turkmen language', 'Tajik language', 'Uyghur language', 'Bukhori dialect', 'Koryo-mar', 'Eastern Armenian', 'Meskhetian Turkish', 'Uyghur', 'Kazakh', 'Tajik', 'Tatar language', 'Crimean Tatar', 'Bashkir language', 'Kyrgyz', 'Bashkir', 'Azerbaijani', 'Azerbaijani language', 'Parya language', 'Turkmen', 'Kyrgyz language', 'Central Asian Arabic', 'Ukrainian', 'Turkish dialects', 'Crimean Tatar language', 'Bukhori', 'Tatar', 'Ukrainian language', 'Kazakh language', 'Parya']",[],['Muslims']
23440,Philippines,https://en.wikipedia.org/wiki/Philippines,6,PH,"['Spanish', 'Spanish language', 'Filipino Sign Language']",[],['Christianity']
3607937,Malaysia,https://en.wikipedia.org/wiki/Malaysia,6,MY,"['National Language Act 1963', 'Malaysian language', 'Malay', 'Federal Constitution of Malaysia', 'Malaysian English', 'English']",[],"['State religion', 'Islam', 'official', 'Islam in Malaysia']"
76972,Denmark,https://en.wikipedia.org/wiki/Denmark,18,DK,"['Danish language', 'Danish']",[],"['Irreligion', 'Islam in Denmark', 'Church of the Faroe Islands', 'Christian', 'Greenland', 'Other', 'Church of Greenland', 'Religion in Denmark', 'Christianity', 'Christians', 'Islam', 'Church of Denmark', 'No religion']"
27318,Singapore,https://en.wikipedia.org/wiki/Singapore,2,SG,"['Malay Language', 'English', 'Malay', 'Singaporean English', 'National language', 'Malay language', 'Malay']",[],[]
22936,Poland,https://en.wikipedia.org/wiki/Poland,11,PL,"['Polish', 'Constitution of the Republic of Poland', 'Polish language']",[],"['Irreligion', 'Christian', 'Religion in Poland', 'Other', 'Catholic Church in Poland', 'Christianity', 'Christians', 'Catholicism', 'No religion']"
14532,Italy,https://en.wikipedia.org/wiki/Italy,12,EU,"['See full list', 'Languages of Italy', 'Italian', 'Italian language']",[],"['Christianity in Italy', 'Religion in Italy', 'Islam in Italy', 'Other', 'Irreligion in Italy', 'Christianity', 'Islam', 'No religion']"
21133,NATO,https://en.wikipedia.org/wiki/NATO,6,[],"['French', 'English', 'English language', 'French language']",[],[]
