conflict_id,entity_ids
22738,"[[27019, 1737554, 17207794, 4913064, 23235, 31816, 194200, 14533, 2288455, 198149, 12108, 5058739, 27358, 31853, 23440, 3607937, 76972, 27318, 22936, 14532, 21133, 746, 5042916, 22738, 170131, 10918072, 69328, 3434750, 21241, 27288, 26667, 737, 4689264, 25391, 14579, 5843419, 23033, 187749, 5321, 15573, 30108, 17238515, 1749346, 30128, 1545177, 31717, 11125639, 16642, 188171, 3457, 11867, 5405, 31750, 9519693], [103100, 51673, 737, 30635, 27358, 21462079, 30875850, 23440, 2216, 12968316]]"
43063,"[[21241, 291717, 4913064, 31717, 11125639, 737, 4689264, 21148, 11867, 5843419, 5042916, 76972, 3434750], [389363, 737, 4512092]]"
46216,"[[9282173], [24093, 12047, 24324, 13913, 53185055, 13093253]]"
106346,"[[1113713, 23235, 3607937, 31769, 3434750], [8089426]]"
201936,"[[899044, 22936, 31717, 679693, 7515928, 25659771, 4689264, 21148, 70767, 70789, 3434750], [7515849, 26215470, 285632, 2185, 199866, 17633]]"
203230,"[[3343, 349303, 31717, 11125639, 14532, 4689264, 21148, 5843419, 3434750], [26215470]]"
207031,"[[26215470], [31717, 3434750]]"
225283,"[[26750, 14533], [18606]]"
314792,"[[9282173, 39237], [5844475, 747345, 40863691, 13913, 24093, 11104]]"
405651,"[[32087, 1576797, 3434750], [40596311, 7515928]]"
472441,"[[13373], [13373, 489124], [3434750]]"
495671,"[[3434750], [27421, 1260693, 649718]]"
591689,"[[3434750], [748820, 40596311]]"
635918,"[[3434750], [3457, 31750, 26215470]]"
847626,"[[31717, 3434750], [166957, 27754208, 13698067, 26215470, 204633], [21913090, 455441, 1088385, 12786576, 9087364, 39955935], [27344057, 21913090, 4028355, 578961, 26106154, 1441792, 23626646]]"
909500,"[[27019, 9282173, 7515928, 3434750], [40596311, 7515928, 7515849]]"
1032342,"[[3434750], [26105741, 27344057, 166957, 13698067, 27754208, 40596311, 26106154, 23626646, 39955935]]"
1101083,"[[78643, 174712, 32374, 286105], [32374, 409121]]"
1113713,"[[8087628, 69328, 3343, 27019, 349303, 23235, 4913064, 21383, 7515890, 14533, 12108, 5058739, 3607937, 23440, 76972, 7515964, 10707, 34399, 26964606, 14532, 25445, 171166, 147575, 26748, 5042916, 3434750, 21241, 26667, 4689264, 14579, 30188, 5843419, 3464, 19291, 10577, 358, 11125639, 31717, 11867, 3454, 31769], [3012980]]"
1138374,"[[31717, 7515928, 3434750], [455441, 1088385, 12786576, 166957, 40596311, 3285814]]"
1145971,"[[7515928, 3434750], [40596311]]"
1147895,"[[3434750], [40596311]]"
1160495,"[[7515928, 3434750], [40596311]]"
1163969,"[[7515928, 3434750], [40596311, 7515928]]"
1165690,"[[3434750], [40596311]]"
1220919,"[[1576797, 31717, 4887, 3434750], [40596311]]"
1389913,"[[31717], [1390015]]"
1486011,"[[2421391, 14533, 451855, 1241164, 3454, 19457], [1416994, 19580896, 5140508, 2942891, 11962570, 3771075, 41857550, 29358772, 642175, 12241100, 43001917, 3488351, 2257545, 23988695, 16293969, 1335473, 25380421, 39446246, 46897180, 26232439, 53278971, 32745522, 427063, 43797145, 1486011]]"
1781189,"[[36870, 17238590], [187749, 36870]]"
1928714,"[[1576797, 3434750], [40596311]]"
1939307,"[[1576797, 3434750], [40596311]]"
2057171,"[[5042481, 607504, 2503, 347166, 284376, 12774849], [34421, 17416221, 245423, 900249]]"
2069739,"[[1576797, 3434750], [40596311]]"
2069754,"[[1576797, 3434750], [40596311]]"
2148262,"[[17416221, 26750, 66235931, 23235, 9282173, 14533, 65896995], [5013244, 28223609, 26215470, 7515928, 1484811, 21255, 30490895]]"
2204758,"[[5042916], [3434750]]"
2243939,"[[3434750], [5405]]"
2326869,"[[30136, 30128, 14338598, 20517709], [2881379, 103100, 44107893, 18305760, 2874177, 2485336], [28645, 6758287, 197015]]"
2372429,"[[166957, 13698067, 27754208, 1088385, 40596311, 17349645, 453329, 39955935, 455441], [9195772, 27344057, 578961, 7281998, 26106154, 1441792, 453329, 23626646, 26105741], [899044, 31717, 11401226, 7515928, 80777, 274262, 27145721, 3434750]]"
2929376,"[[817725, 25391], [3252889]]"
3070332,"[[412540, 8727876, 27358, 27366], [7429605, 1019774, 233569, 51425, 6120710, 3012980, 27358]]"
3154222,"[[5042916], [737, 30635]]"
3176864,"[[8087628, 69328, 3343, 349303, 23235, 4913064, 21383, 7515890, 14533, 12108, 3607937, 34399, 14532, 5042916, 3434750, 21241, 26667, 4689264, 30188, 5843419, 187749, 3464, 19291, 11125639, 31717, 11867, 3454], [3012980]]"
3362540,"[[1576797, 7515928, 3434750], [40596311]]"
3523983,"[[85725, 31560013, 3525430, 4042337, 23376485, 66404293, 66403024, 27421, 3571583, 66402699, 683270, 7575877, 2081585], [27421, 1246506, 5843419, 3885935, 5488]]"
3568611,"[[17799, 17791], [17799, 17791, 469639]]"
4020775,"[[380353, 35392140, 65220, 25391, 5605323, 307675, 1179127, 10918072], [3299139, 9282173, 386473, 26779, 25391, 746, 7118299, 404448]]"
4179959,"[[1262096], [23440, 2377550]]"
4184657,"[[3434750], [40596311]]"
4293656,"[[2288455, 4689264, 5042916, 3434750], [1921, 389363, 208636, 21421637, 1401135, 332667]]"
4413123,"[[1576797, 7515928, 3434750], [17349645, 12786576, 40596311]]"
