entity_id,entity_attributes
358,{'name': 'Algeria'}
701,{'name': 'Angola'}
737,{'name': 'Afghanistan'}
738,{'name': 'Albania'}
746,{'name': 'Azerbaijan'}
1921,{'name': 'Al-Qaeda'}
2185,{'name': 'Arabs'}
2216,{'name': 'Abu Sayyaf'}
2503,{'name': 'African National Congress'}
2795,{'name': 'Australian Army'}
3343,{'name': 'Belgium'}
3415,{'name': 'Bulgaria'}
3454,{'name': 'Bangladesh'}
3457,{'name': 'Belarus'}
3464,{'name': 'Botswana'}
3470,{'name': 'Burkina Faso'}
4887,{'name': 'British Army'}
5222,{'name': 'Colombia'}
5321,{'name': 'Czech Republic'}
5336,{'name': 'Military of Chad'}
5403,{'name': 'Comoros'}
5405,{'name': 'China'}
5447,{'name': 'Cameroon'}
5478,{'name': 'Central African Republic'}
5486,{'name': 'Central African Armed Forces'}
5488,{'name': 'Chad'}
5573,{'name': 'Croatia'}
6095,{'name': 'Chechnya'}
8029,{'name': 'Armed Forces of the Democratic Republic of the Congo'}
9317,{'name': 'European Union'}
9356,{'name': 'El Salvador'}
9366,{'name': 'Equatorial Guinea'}
10577,{'name': 'Finland'}
10707,{'name': 'Fiji'}
10724,{'name': 'French Armed Forces'}
11104,{'name': 'Fatah'}
11867,{'name': 'Germany'}
12047,{'name': 'Gaza Strip'}
12067,{'name': 'Ghana'}
12108,{'name': 'Greece'}
12186,{'name': 'Guinea-Bissau'}
12194,{'name': 'Military of Guinea-Bissau'}
13275,{'name': 'Hungary'}
13373,{'name': 'Haiti'}
13913,{'name': 'Hamas'}
13919,{'name': 'Hezbollah'}
14531,{'name': 'Iceland'}
14532,{'name': 'Italy'}
14533,{'name': 'India'}
14579,{'name': 'Indonesia'}
14653,{'name': 'Iran'}
15245,{'name': 'Ismail Khan'}
15573,{'name': 'Japan'}
16642,{'name': 'Kazakhstan'}
17514,{'name': 'Latvia'}
17515,{'name': 'Luxembourg'}
17633,{'name': 'Libya'}
17675,{'name': 'Lithuania'}
17771,{'name': 'Lebanon'}
17779,{'name': 'Lebanese Armed Forces'}
17791,{'name': 'Liberia'}
17799,{'name': 'Armed Forces of Liberia'}
17808,{'name': 'Armed Forces of the Libyan Arab Jamahiriya'}
18606,{'name': 'Liberation Tigers of Tamil Eelam'}
19088,{'name': 'Malawi'}
19127,{'name': 'Mali'}
19291,{'name': 'Morocco'}
19457,{'name': 'Myanmar'}
19655,{'name': 'May 23'}
20182,{'name': 'Afghan Armed Forces'}
20742,{'name': 'Muslim Brotherhood'}
20760,{'name': 'Montenegro'}
21133,{'name': 'NATO'}
21148,{'name': 'Netherlands'}
21241,{'name': 'Norway'}
21255,{'name': 'North Korea'}
21373,{'name': 'Niger'}
21383,{'name': 'Nigeria'}
21391,{'name': 'Nigerian Armed Forces'}
22316,{'name': 'Oman'}
22738,{'name': 'Operation Enduring Freedom'}
22936,{'name': 'Poland'}
22943,{'name': 'Papua New Guinea'}
23033,{'name': 'Portugal'}
23235,{'name': 'Pakistan'}
23369,{'name': 'Pakistan Armed Forces'}
23420,{'name': 'Paraguay'}
23440,{'name': 'Philippines'}
23444,{'name': 'Politics of the Philippines'}
23448,{'name': 'Armed Forces of the Philippines'}
23943,{'name': 'Palestine'}
24093,{'name': 'Palestinian National Authority'}
24324,{'name': 'Palestine Liberation Organization'}
25391,{'name': 'Russia'}
25445,{'name': 'Romania'}
25645,{'name': 'Rwanda'}
25679,{'name': 'Royal Air Force'}
26100,{'name': 'Revolutionary Armed Forces of Colombia'}
26667,{'name': 'Spain'}
26748,{'name': 'Switzerland'}
26750,{'name': 'Sri Lanka'}
26779,{'name': 'Soviet Union'}
26830,{'name': 'Slovakia'}
27019,{'name': 'South Korea'}
27278,{'name': 'Senegal'}
27288,{'name': 'Seychelles'}
27318,{'name': 'Singapore'}
27338,{'name': 'Slovenia'}
27358,{'name': 'Somalia'}
27366,{'name': 'Somali Armed Forces'}
27421,{'name': 'Sudan'}
27429,{'name': 'Sudanese Armed Forces'}
28246,{'name': 'Sufism'}
28645,{'name': 'Smuggling'}
29265,{'name': 'Serbia'}
30108,{'name': 'Tajikistan'}
30118,{'name': 'Tanzania'}
30128,{'name': 'Thailand'}
30136,{'name': 'Royal Thai Armed Forces'}
30158,{'name': 'Tonga'}
30188,{'name': 'Tunisia'}
30205,{'name': 'Turkish Armed Forces'}
30635,{'name': 'Taliban'}
30680,{'name': 'The New York Times'}
31717,{'name': 'United Kingdom'}
31750,{'name': 'Ukraine'}
31769,{'name': 'United Nations'}
31816,{'name': 'Uganda'}
31853,{'name': 'Uzbekistan'}
32087,{'name': 'United States Army'}
32090,{'name': 'United States Air Force'}
32212,{'name': 'United States Armed Forces'}
32374,{'name': 'Venezuela'}
32443,{'name': 'Vanuatu'}
33220,{'name': 'Western Sahara'}
34252,{'name': 'Republic of Yemen Armed Forces'}
34376,{'name': 'Armed Forces of Serbia and Montenegro'}
34399,{'name': 'Zimbabwe'}
34421,{'name': 'Zaire'}
36870,{'name': 'Commonwealth of Independent States'}
37778,{'name': 'Tajiks'}
39237,{'name': 'Israel Defense Forces'}
44431,{'name': 'Biafra'}
44956,{'name': 'Kosovo Liberation Army'}
46530,{'name': 'Human Rights Watch'}
48192,{'name': 'National Liberation Army'}
48755,{'name': 'Neo-fascism'}
51425,{'name': 'Somaliland'}
51673,{'name': 'Moro Islamic Liberation Front'}
59537,{'name': 'Hutu'}
65220,{'name': 'Nagorno-Karabakh'}
66463,{'name': 'Politics of Afghanistan'}
66890,"{'name': ""People's Liberation Army""}"
67538,{'name': 'Australian Defence Force'}
69328,{'name': 'United Arab Emirates'}
69680,"{'name': ""Kurdistan Workers' Party""}"
70767,{'name': 'Iraqi National Congress'}
70789,{'name': 'Patriotic Union of Kurdistan'}
73374,{'name': 'Mercenary'}
76741,{'name': 'Government of Colombia'}
76762,{'name': 'Democratic Republic of the Congo'}
76972,{'name': 'Denmark'}
78643,{'name': 'Government of Venezuela'}
80777,{'name': 'Kurdistan'}
85725,{'name': 'Uni'}
102226,{'name': 'The Washington Post'}
103100,{'name': 'Jemaah Islamiyah'}
147372,"{'name': ""People's Armed Police""}"
147575,{'name': 'Ireland'}
166957,"{'name': ""Ba'ath Party""}"
170131,{'name': 'Kyrgyzstan'}
171166,{'name': 'Nepal'}
174712,{'name': 'Fifth Republic Movement'}
177451,{'name': 'Spetsnaz'}
177909,{'name': 'Progressive Socialist Party'}
184764,{'name': 'The Jerusalem Post'}
184799,{'name': 'Anjouan'}
187749,{'name': 'Ethiopia'}
188171,{'name': 'Kenya'}
194200,{'name': 'International Security Assistance Force'}
195149,{'name': 'Federal government of the United States'}
197015,{'name': 'Drug cartel'}
198149,{'name': 'Turkmenistan'}
199866,{'name': 'Ansar al-Islam'}
201574,{'name': 'Polisario Front'}
204633,{'name': 'Fedayeen Saddam'}
208636,{'name': 'Turkistan Islamic Party'}
212681,{'name': 'Afghan National Army'}
214413,{'name': 'Armenian diaspora'}
215609,{'name': 'Ali Abdullah Saleh'}
233569,{'name': 'Puntland'}
233729,{'name': 'Tijuana Cartel'}
235688,{'name': 'Daily Mirror'}
245423,{'name': 'UNITA'}
265083,{'name': 'Solomon Islands'}
274262,{'name': 'Private military company'}
284376,{'name': 'SWAPO'}
285632,"{'name': ""People's Mujahedin of Iran""}"
286105,{'name': 'Bolivarian Circles'}
291717,{'name': 'Islamic State of Afghanistan'}
294118,{'name': 'Ertzaintza'}
298010,{'name': 'Revolutionary United Front'}
307675,{'name': 'Ossetians'}
318381,{'name': 'South Ossetia'}
319778,{'name': 'Free Aceh Movement'}
332667,{'name': 'Islamic Emirate of Afghanistan'}
334751,{'name': 'Cambodia'}
341221,{'name': 'Australian Federal Police'}
349303,{'name': 'Saudi Arabia'}
350939,{'name': 'Yemen'}
365009,{'name': 'National Guard'}
371256,{'name': 'Khorasan Province'}
377433,{'name': 'Pakistan Air Force'}
380353,{'name': 'Armenian Soviet Socialist Republic'}
386473,{'name': 'Shamil Basayev'}
389363,{'name': 'Islamic Movement of Uzbekistan'}
404448,{'name': 'Azerbaijan Soviet Socialist Republic'}
408215,{'name': 'Communist Party of India'}
408677,{'name': 'Nagaland'}
409121,{'name': 'List of political parties in Venezuela'}
412540,{'name': 'Somali Democratic Republic'}
427806,{'name': 'United States special operations forces'}
453329,{'name': 'Arab tribes in Iraq'}
455441,{'name': 'Jamaat Ansar al-Sunna'}
466160,{'name': 'Akwa Ibom State'}
471981,{'name': 'Agence France-Presse'}
474042,{'name': 'Karachay-Cherkessia'}
478947,{'name': 'Popular Resistance Committees'}
489124,{'name': 'National Revolutionary Front for the Liberation of Haiti'}
493361,{'name': 'Sagaing Region'}
518768,{'name': 'Hezbi Islami'}
541409,{'name': 'Free Papua Movement'}
553883,{'name': 'Government of India'}
566821,{'name': 'Islamic terrorism'}
600792,{'name': 'Close air support'}
607504,{'name': 'Executive Outcomes'}
611381,{'name': 'Ondo State'}
642175,{'name': 'National Liberation Front of Tripura'}
649718,{'name': 'Lashkar-e-Taiba'}
672930,{'name': 'Delta State'}
679693,{'name': 'Iraqi Kurdistan'}
683270,{'name': 'Janjaweed'}
718749,{'name': 'South Yemen'}
747345,{'name': 'Tanzim'}
748820,"{'name': ""Jama'at al-Tawhid wal-Jihad""}"
751099,{'name': 'Dagestan'}
797702,{'name': 'Ingushetia'}
817725,{'name': 'Kabardino-Balkaria'}
841673,{'name': 'Macedonia'}
896126,{'name': 'Tablighi Jamaat'}
899044,{'name': 'Peshmerga'}
905817,{'name': 'Abia State'}
905857,{'name': 'Cross River State'}
928722,{'name': 'RFE'}
948638,{'name': 'Derg'}
1015555,{'name': 'MONUSCO'}
1019774,{'name': 'Somali Salvation Democratic Front'}
1088385,{'name': 'Islamic Army in Iraq'}
1133944,{'name': 'Royal Bhutan Army'}
1179127,{'name': 'Kuban Cossacks'}
1181356,{'name': 'National Council of Resistance of Iran'}
1183789,{'name': 'Pakistan Navy'}
1188322,{'name': 'Jos'}
1199752,{'name': 'Mai-Mai'}
1200377,{'name': 'Center for Security Policy'}
1241164,{'name': 'SULFA'}
1246506,{'name': 'Justice and Equality Movement'}
1258240,{'name': 'Allied Democratic Forces'}
1260693,{'name': 'Harkat-ul-Mujahideen'}
1276759,"{'name': ""Tigray People's Liberation Front""}"
1312990,{'name': 'National Police'}
1313055,{'name': 'Philippine National Police'}
1320430,{'name': 'Republic of West Papua'}
1337691,{'name': 'Syrian Social Nationalist Party'}
1390015,{'name': 'West Side Boys'}
1401135,{'name': '055 Brigade'}
1416994,{'name': 'Mizo National Front'}
1484811,{'name': 'Janatha Vimukthi Peramuna'}
1504778,{'name': 'Kurdistan Islamic Movement'}
1517643,{'name': 'Amal Movement'}
1529105,{'name': 'Popular Revolutionary Army'}
1545177,{'name': 'Georgia Train and Equip Program'}
1576797,{'name': 'Iraqi Army'}
1608789,{'name': 'National Police Corps'}
1646730,{'name': 'Jund al-Sham'}
1662934,{'name': 'Ogaden National Liberation Front'}
1676875,{'name': 'Democratic Forces for the Liberation of Rwanda'}
1737554,{'name': 'Transit Center at Manas'}
1749346,{'name': 'War in Afghanistan'}
1754397,"{'name': ""People's Democratic Republic of Ethiopia""}"
1785100,{'name': 'Indian Peace Keeping Force'}
1873407,{'name': 'Iparretarrak'}
1886592,{'name': 'Islamic Movement of Afghanistan'}
1897833,{'name': 'Government of Pakistan'}
1908022,{'name': 'Government of Peru'}
1965925,{'name': 'Pakistan Army'}
1966992,{'name': 'Rivers State'}
2039914,{'name': 'United Wa State Army'}
2076117,{'name': 'Iraqi Police'}
2081585,{'name': 'Rally of Democratic Forces'}
2099335,{'name': 'Lebanese Communist Party'}
2142325,{'name': 'Spanish Army'}
2159021,{'name': 'Inter-Services Intelligence'}
2163060,{'name': 'Jamiat-e Islami'}
2225578,{'name': 'State Peace and Development Council'}
2227620,{'name': 'Bayelsa State'}
2227627,{'name': 'Edo State'}
2257545,{'name': 'United National Liberation Front'}
2288455,{'name': 'Northern Alliance'}
2326203,{'name': 'Warsangali'}
2399882,{'name': 'Isatabu Freedom Movement'}
2421391,{'name': 'Bhutan'}
2545581,{'name': 'Daily Nation'}
2631749,{'name': 'Rapid Action Battalion'}
2635111,{'name': 'Joint Special Operations Command'}
2642213,{'name': 'Los Zetas'}
2673836,{'name': 'Future Movement'}
2703270,{'name': 'Party for Social Renewal'}
2816470,{'name': 'Terrorism in Pakistan'}
2874177,{'name': 'Patani United Liberation Organisation'}
2881379,{'name': 'Barisan Revolusi Nasional'}
2905770,{'name': 'Kurdistan Islamic Group'}
2928177,{'name': 'Rahanweyn Resistance Army'}
2942891,{'name': 'Tripura National Volunteers'}
3012980,{'name': 'United Somali Congress'}
3057255,{'name': 'Bloomberg News'}
3197182,{'name': 'Democratic Party of Iranian Kurdistan'}
3252889,{'name': 'Caucasian Front'}
3293496,{'name': 'Sea Tigers'}
3294160,{'name': 'Gulf Cartel'}
3299139,{'name': 'Hezb-e Islami Gulbuddin'}
3373084,{'name': 'Al-Mourabitoun'}
3434750,{'name': 'United States'}
3482169,{'name': 'Economic Community of Central African States'}
3488351,{'name': 'People'}
3525430,{'name': 'Rally for Democracy and Liberty'}
3571583,{'name': 'United Front for Democratic Change'}
3607937,{'name': 'Malaysia'}
3771075,"{'name': ""People's Revolutionary Party of Kangleipak""}"
3779347,{'name': 'Movement for the Emancipation of the Niger Delta'}
3804158,"{'name': ""Jaish al-Ta'ifa al-Mansurah""}"
3885935,{'name': 'National Movement for Reform and Development'}
3966054,{'name': 'Mexico'}
3969667,{'name': 'Kurdistan Free Life Party'}
4028355,{'name': 'Quds Force'}
4042337,{'name': 'Movement for Democracy and Justice in Chad'}
4054894,{'name': 'Paramilitary forces of Pakistan'}
4055099,{'name': 'Aden-Abyan Islamic Army'}
4144899,{'name': 'Alliance for the Restoration of Peace and Counter-Terrorism'}
4322340,"{'name': ""Niger Delta People's Volunteer Force""}"
4462025,{'name': 'Niger Delta Vigilante'}
4491031,{'name': 'Iraultza'}
4512092,{'name': 'Taliban insurgency'}
4611195,{'name': 'Pakistan Rangers'}
4689264,{'name': 'Australia'}
4813888,{'name': 'Basque National Liberation Movement'}
4858648,"{'name': ""Ethiopian People's Patriotic Front""}"
4913064,{'name': 'New Zealand'}
5013244,"{'name': ""People's Liberation Organisation of Tamil Eelam""}"
5042481,{'name': 'Cuba'}
5042916,{'name': 'Canada'}
5058739,{'name': 'Sweden'}
5140508,{'name': 'Bodo Liberation Tigers Force'}
5171141,{'name': 'History of Libya under Muammar Gaddafi'}
5183633,{'name': 'Central Intelligence Agency'}
5217236,{'name': 'Nepalese Army Air Service'}
